symbol,ok,priceBRL,status,message
DEOP34,0,,0,"fetch failed"
DGCO34,0,,0,"fetch failed"
DLTR34,0,,0,"fetch failed"
DUKB34,0,,0,"fetch failed"
ELCI34,0,,0,"fetch failed"
EXGR34,0,,0,"fetch failed"
FASL34,0,,0,"fetch failed"
FCXO34,0,,0,"fetch failed"
FDMO34,0,,0,"fetch failed"
FFTD34,0,,0,"fetch failed"
FMSC34,0,,0,"fetch failed"
FMXB34,0,,0,"fetch failed"
FOXC34,0,,0,"fetch failed"
FSLR34,0,,0,"fetch failed"
GILD34,0,,0,"fetch failed"
GMCO34,0,,0,"fetch failed"
HONB34,0,,0,"fetch failed"
HOND34,0,,0,"fetch failed"
K2CG34,0,,0,"fetch failed"
LOWC34,0,,0,"fetch failed"
MKLC34,0,,0,"fetch failed"
MUTC34,0,,0,"fetch failed"
NEXT34,0,,0,"fetch failed"
NOKI34,0,,0,"fetch failed"
ORLY34,0,,0,"fetch failed"
REGN34,0,,0,"fetch failed"
ROST34,0,,0,"fetch failed"
ROXO34,0,,0,"fetch failed"
RYTT34,0,,0,"fetch failed"
SCHW34,0,,0,"fetch failed"
SNEC34,0,,0,"fetch failed"
SPGI34,0,,0,"fetch failed"
SSFO34,0,,0,"fetch failed"
STMN34,0,,0,"fetch failed"
TAKP34,0,,0,"fetch failed"
TEXA34,0,,0,"fetch failed"
TGTB34,0,,0,"fetch failed"
TJXC34,0,,0,"fetch failed"
TMCO34,0,,0,"fetch failed"
TMOS34,0,,0,"fetch failed"
TPRY34,0,,0,"fetch failed"
TRVC34,0,,0,"fetch failed"
TSNF34,0,,0,"fetch failed"
TXSA34,0,,0,"fetch failed"
ULEV34,0,,0,"fetch failed"
UPAC34,0,,0,"fetch failed"
UPSS34,0,,0,"fetch failed"
VERZ34,0,,0,"fetch failed"
VFCO34,0,,0,"fetch failed"
VLOE34,0,,0,"fetch failed"
VLYB34,0,,0,"fetch failed"
VRSN34,0,,0,"fetch failed"
VRTX34,0,,0,"fetch failed"
WUNI34,0,,0,"fetch failed"
XRAY34,0,,0,"fetch failed"
XRXB34,0,,0,"fetch failed"
Y2PF34,0,,0,"fetch failed"
